instance,c_optimal_value,1.1c_optimal_value,1.2c_optimal_value,1.3c_optimal_value,1.4c_optimal_value,1.5c_optimal_value,1.6c_optimal_value,1.7c_optimal_value,1.8c_optimal_value,1.9c_optimal_value,2c_optimal_value,"28,75%","12,28%","6,52%","4,97%","2,90%","2,15%","1,66%","1,29%","1,00%","0,90%"
,"412573703,311111","253403534,05","248662195,977778","247133942,977778","246231731,605556","245620328,122222","245196102,794444","244856359,616667","244616892,366667","244451308,438889","244305114,65","62,81%","1,91%","0,62%","0,37%","0,25%","0,17%","0,14%","0,10%","0,07%","0,06%"
,"324849792,088889","273886274,733333","267458969,916667","263389985,166667","260340580,227778","257546154,611111","254898471,105556","252305167,227778","249756171,494444","247248869,388889","244799952,766667","18,61%","2,40%","1,54%","1,17%","1,09%","1,04%","1,03%","1,02%","1,01%","1,00%"
,"366932858,6","323847903,2","299300651,344444","286642348,877778","281179070,683333","278042677,722222","275055152,833333","272174741,983333","269300578,45","266484356,333333","264242318,233333","13,30%","8,20%","4,42%","1,94%","1,13%","1,09%","1,06%","1,07%","1,06%","0,85%"
,"405251336,938889","374013709,333333","346998470,405556","322209651,933333","298883400,8","291406828,827778","288222045,072222","285133687,533333","282088982,038889","279229486,805556","279096508,611111","8,35%","7,79%","7,69%","7,80%","2,57%","1,10%","1,08%","1,08%","1,02%","0,05%"
,"461383813,344444","430302221,811111","409624389,022222","389868684,988889","389071593,138889","388536228,027778","388116702,872222","387839247,211111","387609240,766667","387411146,144444","387232360,838889","7,22%","5,05%","5,07%","0,20%","0,14%","0,11%","0,07%","0,06%","0,05%","0,05%"
,"582603324,011111","427319749,744444","305968751,844444","293321217,905556","285416400,011111","280737166,477778","280346989,933333","280014616,977778","279715244,533333","279435306,811111","279173966,222222","36,34%","39,66%","4,31%","2,77%","1,67%","0,14%","0,12%","0,11%","0,10%","0,09%"
,"458785299,261111",353518837,"302511090,322222","296897351,172222","291623414,322222","286562140,25","281680956,983333","276932535,038889","272311451,633333","267767332,244444","263279970,033333","29,78%","16,86%","1,89%","1,81%","1,77%","1,73%","1,71%","1,70%","1,70%","1,70%"
,"558784276,755556","441142601,533333","432975072,35","425952508,683333","419589123,727778","413759503,488889","408294528,766667","403000369,061111","397794104,083333","392621550,805556","387454349,65","26,67%","1,89%","1,65%","1,52%","1,41%","1,34%","1,31%","1,31%","1,32%","1,33%"
,"474510312,644444","424669056,777778","409281666,1","394187761,522222","379660274,344444","371917486,594444","364296843,155556","356801931,477778","349350548,116667","342017186,716667","334727929,455556","11,74%","3,76%","3,83%","3,83%","2,08%","2,09%","2,10%","2,13%","2,14%","2,18%"
,"601717927,527778","519969968,983333","465721372,416667","445605068,288889","433636745,15","425603023,172222","417782576,505556","410045953,3","402329896,527778","394639707,444444","386950771,311111","15,72%","11,65%","4,51%","2,76%","1,89%","1,87%","1,89%","1,92%","1,95%","1,99%"
,"419220091,966666","364171936,277778","345125900,45",336571180,"328532503,544444","320702197,416667","312943910,722222","305238352,127778","297580008,088889","289925882,322222","282274893,705556","15,12%","5,52%","2,54%","2,45%","2,44%","2,48%","2,52%","2,57%","2,64%","2,71%"
,"558053058,955555","454852916,338889","438215859,683333","430300286,555556","422949766,411111","415744496,394445","408674543,316667","401675079,583333","394705515,811111","387762570,388889","380838591,561111","22,69%","3,80%","1,84%","1,74%","1,73%","1,73%","1,74%","1,77%","1,79%","1,82%"
,"728563374,144444","620165606,883333","553849937,45","488014503,177778","422486197,888889","377612562,266667","372154709,444444","366957522,855556","361859587,655556","356831015,888889","351876798,838889","17,48%","11,97%","13,49%","15,51%","11,88%","1,47%","1,42%","1,41%","1,41%","1,41%"
,"873643218,394444","714316484,972222","652169950,622222","590476525,216667","529084460,977778","468345219,583333","413147247,666667","360758523,866667","315359516,2","302424596,022222","291387032,716667","22,30%","9,53%","10,45%","11,60%","12,97%","13,36%","14,52%","14,40%","4,28%","3,79%"
,"1010096466,21667","938373405,638889","874802063,461111","847167210,011111","820214405,966667","803017981,244444","802669322,338889","802427633,244445",802219063,"802042492,127778","801878460,466667","7,64%","7,27%","3,26%","3,29%","2,14%","0,04%","0,03%","0,03%","0,02%","0,02%"
,"708884963,027778","631294454,427778","554118027,477778","477376232,511111","401037567,044444","354168533,027778","315546909,027778","276965614,577778","265321949,066667","264533818,25","263935014,588889","12,29%","13,93%","16,08%","19,04%","13,23%","12,24%","13,93%","4,39%","0,30%","0,23%"
,"507622289,866667","425010089,25","347504761,466667","271117239,783333","244847122,433333","243755104,844444","242897507,05","242193902,344444","241634688,883333","241349751,088889","241088376,977778","19,44%","22,30%","28,18%","10,73%","0,45%","0,35%","0,29%","0,23%","0,12%","0,11%"
