instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value,2c vs c,3c vs 2c,4c vs 3c,5c vs 4c,6c vs 5c,7c vs 6c,8c vs 7c,9c vs 8c,10c vs 9c ,,Valori medi,
88,82581353867,47390394606,44630222937,44593612243,44582059774,44582059756,44582059738,44582059749,44582059860,44582059756,"74,26%","6,18%","0,08%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
89,100581169816,69741782937,60928853319,60605726159,60604400240,60604400240,60604400240,60604400240,60604400248,60604400248,"44,22%","14,46%","0,53%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
90,85411856276,60251027302,55111474584,50830911933,50024587718,50018695800,50017369102,50017369165,50017369114,50017369114,"41,76%","9,33%","8,42%","1,61%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
91,108309226955,69651138836,56543543567,51908658425,51706814741,51706563563,51706563563,51706563563,51706563563,51706563563,"55,50%","23,18%","8,93%","0,39%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
92,"75459616553,9999",50809480867,50744386153,50714387808,50714386721,50714386721,50714386721,50714386721,50714386721,50714386721,"48,51%","0,13%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
93,100449550612,68550946481,65711547872,65665049891,65647035630,65647035630,65647035630,65647035630,65647035630,65647035630,"46,53%","4,32%","0,07%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
94,131141407346,63337823791,62182687792,62107967690,62089893956,62085169841,62083512192,62083512192,62083512192,62083514063,"107,05%","1,86%","0,12%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
95,157255779311,52449665889,50327872077,50261223051,50228557566,50220892370,50216882002,50216882023,50216882002,50216882047,"199,82%","4,22%","0,13%","0,07%","0,02%","0,01%","0,00%","0,00%","0,00%",,,
96,181817363919,144338122884,144220917176,144183694137,144171259206,144171259206,144171259197,144171259197,144171259227,144171259221,"25,97%","0,08%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
97,127599293345,47508302626,47203770347,47160664015,47144003983,47139783526,47135561285,47135117155,47135115298,47135117094,"168,58%","0,65%","0,09%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
98,91372012176,43395907856,43199272397,43154292197,43133467262,43129304749,43129304749,43129304741,43129304750,43129304814,"110,55%","0,46%","0,10%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
99,74807161968,42669198500,42522583586,42464289717,42437648988,42437648981,42437648977,42437648997,42437649006,42437649014,"75,32%","0,34%","0,14%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
100,88031611953,45184171370,45076643681,45046874715,45032724908,45028335898,45024666550,45024666588,45024666595,45024666636,"94,83%","0,24%","0,07%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
101,102051573883,51198700859,51014552644,50975780759,50969546472,50969546478,50969546461,50969546461,50969546461,50969546461,"99,32%","0,36%","0,08%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
102,"116320695897,999",100111784127,99897869540,99845061376,99829514080,99829514100,99829514099,99829514078,99829514093,99829514093,"16,19%","0,21%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
103,110879612375,54003956914,46171618617,46141612576,46122898546,46118622761,46114343284,46114300171,46114298451,46114298381,"105,32%","16,96%","0,07%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
