instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value
165,71010850715.0,48054731108.0,46899292356.0,46833184331.0,46824290561.0,46824290561.0,46824290561.0,46824290561.0,46824290561.0,46824290561.0
166,101267950053.0,61131333195.0,56606195799.0,52314897225.0,52314897225.0,52314897225.0,52314897225.0,52314897225.0,52314897225.0,52314897225.0
167,93575534513.0,60547007891.0,55986795001.0,51701817911.0,51509722581.0,51509722581.0,51509722581.0,51509722581.0,51509722581.0,51509722581.0
168,82330592070.0,46682786349.0,42097812803.0,42056975525.0,42039468712.0,42035302180.0,42031135601.0,42030310630.0,42030310630.0,42030310630.0
169,79681997348.0,48771796329.0,48550979248.0,48494103446.0,48463881070.0,48455014810.0,48455014810.0,48455014809.0,48455014809.0,48455014809.0
170,98161347154.0,62254350296.0,62018578496.0,61951610411.0,61916267384.0,61916267384.0,61916267384.0,61916267418.0,61916267418.0,61916267384.0
171,101719307078.0,44868982959.0,44742299110.0,44712292479.0,44693648832.0,44693648832.0,44693648796.0,44693648815.0,44693648815.0,44693650700.0
172,114658788242.0,77842925272.0,77741255652.0,77713281606.0,77709302464.0,77709304297.0,77709304222.0,77709302439.0,77709302403.0,77709304216.0
173,125137854613.0,53842839029.0,52490938231.0,52435958061.0,52423950473.0,52423950500.0,52423950488.0,52423950498.0,52423950489.0,52423950541.0
174,121382733906.0,57253038093.0,57076021157.0,57028332607.0,57028332600.0,57028332643.0,57028332642.0,57028332606.0,57028332641.0,57028332596.0
175,84462341655.0,53589178422.0,53324724898.0,53165330218.0,53154885840.0,53147104904.0,53147104904.0,53147104904.0,53147104904.0,53147104831.0
176,96334072302.0,87700768722.0,87579400257.0,87527517391.0,87518417656.0,87518417656.0,87518417656.0,87518417656.0,87518417656.0,87518417670.0
177,96017090622.0,60421542133.0,55810667161.0,51483184968.0,51088742930.0,51088182565.0,51088182541.0,51088182643.0,51088180764.0,51088180764.0
178,114740341207.0,52398238534.0,51508600723.0,51472497940.0,51466272037.0,51466272112.0,51466272062.0,51466272028.0,51466272085.0,51466272037.0
179,94972868949.0,49596866889.0,48945852149.0,48895849517.0,48875055448.0,48864230373.0,48860910597.0,48860910596.0,48860910612.0,48860910611.0
180,63490879439.0,48335555520.0,48233839482.0,48203187435.0,48197130663.0,48192186021.0,48191861360.0,48191861360.0,48191861414.0,48191861426.0
181,64130946910.0,48105255216.0,48014256768.0,47979041634.0,47971526639.0,47970977237.0,47970977252.0,47970977252.0,47970977239.0,47970977260.0
182,65994355156.0,50097084184.0,49990988487.0,49944643445.0,49944643550.0,49944643463.0,49944643453.0,49944643441.0,49944643436.0,49944643472.0
183,84492084741.0,45593421711.0,45465289834.0,45427913961.0,45420132433.0,45420132368.0,45420132363.0,45420132372.0,45420132405.0,45420132393.0
184,85287869696.0,44911204577.0,44754528667.0,44721198549.0,44707870514.0,44707868732.0,44707868659.0,44707870571.0,44707868695.0,44707870484.0
185,87837892735.0,43783967773.0,43664573564.0,43634036316.0,43620705011.0,43617914687.0,43617914606.0,43617914606.0,43617914606.0,43617914606.0
186,98545526865.0,65127052564.0,64958734850.0,64902056207.0,64880393833.0,64868727418.0,64863726586.0,64863726586.0,64863726586.0,64863726586.0
187,57784903745.999084,42997564077.0,40091126720.0,40062556817.0,40050118894.0,40050118849.0,40050118889.0,40050118891.0,40050118868.0,40050118907.0
